Id;Codigo;Nombre Paises;Status
205;783;DJIBOUTI;1
206;787;TERRITORIO BRITANICO DEL OCEANO INDICO;1
207;788;TIMOR DEL ESTE;1
208;800;TOGO;1
209;805;TOKELAU;1
210;810;TONGA;1
211;815;TRINIDAD Y TOBAGO;1
212;820;TUNICIA;1
213;823;TURCAS Y CAICOS, ISLAS;1
214;825;TURKMENISTAN;1
215;827;TURQUIA;1
216;828;TUVALU;1
217;830;UCRANIA;1
218;833;UGANDA;1
219;845;URUGUAY;1
220;847;UZBEKISTAN;1
221;850;VENEZUELA;1
222;855;VIET NAM;1
223;863;VIRGENES, ISLAS (BRITANICAS);1
224;866;VIRGENES, ISLAS (NORTEAMERICANAS);1
225;870;FIJI;1
226;875;WALLIS Y FORTUNA, ISLAS;1
227;880;YEMEN;1
228;885;YUGOSLAVIA;1
229;888;ZAIRE;1
230;890;ZAMBIA;1
231;897;ZONA NEUTRAL PALESTINA;1
